Year,Race,Track,Driver,Team,LapNumber,Compound,TyreLife,TrackStatus,PracticeLapTimeDelta,QualifyingPosition
2021,Azerbaijan Grand Prix,Baku City Circuit,OCO,Alpine,9.0,SOFT,4.0,1,1.0089,10
2021,Azerbaijan Grand Prix,Baku City Circuit,ALO,Alpine,12.0,SOFT,6.0,2,1.0057,11
2021,Azerbaijan Grand Prix,Baku City Circuit,RIC,McLaren,12.0,SOFT,6.0,1,1.0116,12
2021,Azerbaijan Grand Prix,Baku City Circuit,RAI,Alfa Romeo,12.0,SOFT,6.0,2,1.0108,13
2021,Azerbaijan Grand Prix,Baku City Circuit,BOT,Mercedes,12.0,SOFT,6.0,1,1.0203,14
2021,Azerbaijan Grand Prix,Baku City Circuit,RUS,Williams,7.0,SOFT,2.0,1,1.0239,15
2021,Azerbaijan Grand Prix,Baku City Circuit,LAT,Williams,2.0,MEDIUM,2.0,2,1.0477,16
2021,Azerbaijan Grand Prix,Baku City Circuit,MSC,Haas F1 Team,6.0,SOFT,2.0,1,1.039,17
2021,Azerbaijan Grand Prix,Baku City Circuit,MAZ,Haas F1 Team,11.0,SOFT,6.0,2,1.0338,18
2021,French Grand Prix,Circuit Paul Ricard,VER,Red Bull Racing,8.0,SOFT,2.0,1,1.0,1
2021,French Grand Prix,Circuit Paul Ricard,HAM,Mercedes,8.0,SOFT,2.0,1,1.0027,2
2021,French Grand Prix,Circuit Paul Ricard,BOT,Mercedes,2.0,MEDIUM,2.0,1,1.0001,3
2021,French Grand Prix,Circuit Paul Ricard,PER,Red Bull Racing,11.0,SOFT,5.0,1,1.0113,4
2021,French Grand Prix,Circuit Paul Ricard,SAI,Ferrari,12.0,SOFT,3.0,1,1.0089,5
2021,French Grand Prix,Circuit Paul Ricard,GAS,AlphaTauri,14.0,SOFT,5.0,1,1.0089,6
2021,French Grand Prix,Circuit Paul Ricard,LEC,Ferrari,13.0,SOFT,6.0,1,1.0073,7
2021,French Grand Prix,Circuit Paul Ricard,NOR,McLaren,12.0,SOFT,5.0,1,1.0102,8
2021,French Grand Prix,Circuit Paul Ricard,ALO,Alpine,13.0,SOFT,5.0,1,1.005,9
2021,French Grand Prix,Circuit Paul Ricard,RIC,McLaren,13.0,SOFT,4.0,1,1.013,10
2021,French Grand Prix,Circuit Paul Ricard,OCO,Alpine,11.0,SOFT,5.0,1,1.0088,11
2021,French Grand Prix,Circuit Paul Ricard,VET,Aston Martin,8.0,MEDIUM,2.0,1,1.017,12
2021,French Grand Prix,Circuit Paul Ricard,GIO,Alfa Romeo,13.0,SOFT,5.0,1,1.0103,13
2021,French Grand Prix,Circuit Paul Ricard,RUS,Williams,10.0,SOFT,5.0,1,1.0258,14
2021,French Grand Prix,Circuit Paul Ricard,MSC,Haas F1 Team,11.0,SOFT,2.0,1,1.0284,15
2021,French Grand Prix,Circuit Paul Ricard,LAT,Williams,7.0,SOFT,2.0,1,1.0265,16
2021,French Grand Prix,Circuit Paul Ricard,RAI,Alfa Romeo,11.0,SOFT,2.0,1,1.0098,17
2021,French Grand Prix,Circuit Paul Ricard,MAZ,Haas F1 Team,10.0,SOFT,2.0,1,1.0288,18
2021,French Grand Prix,Circuit Paul Ricard,STR,Aston Martin,10.0,MEDIUM,4.0,1,1.019,19
2021,Styrian Grand Prix,Red Bull Ring,VER,Red Bull Racing,13.0,SOFT,2.0,1,1.0,1
2021,Styrian Grand Prix,Red Bull Ring,BOT,Mercedes,2.0,SOFT,2.0,1,1.0128,2
2021,Styrian Grand Prix,Red Bull Ring,HAM,Mercedes,10.0,SOFT,2.0,1,1.0059,3
2021,Styrian Grand Prix,Red Bull Ring,NOR,McLaren,9.0,SOFT,2.0,1,1.0089,4
2021,Styrian Grand Prix,Red Bull Ring,PER,Red Bull Racing,15.0,SOFT,5.0,1,1.0103,5
2021,Styrian Grand Prix,Red Bull Ring,LEC,Ferrari,15.0,SOFT,7.0,1,1.0131,6
2021,Styrian Grand Prix,Red Bull Ring,TSU,AlphaTauri,13.0,SOFT,2.0,2,1.0159,7
2021,Styrian Grand Prix,Red Bull Ring,ALO,Alpine,11.0,SOFT,2.0,2,1.0063,8
2021,Styrian Grand Prix,Red Bull Ring,RUS,Williams,15.0,SOFT,15.0,2,1.0186,9
2021,Styrian Grand Prix,Red Bull Ring,STR,Aston Martin,7.0,SOFT,2.0,1,1.0102,10
2021,Styrian Grand Prix,Red Bull Ring,SAI,Ferrari,14.0,SOFT,6.0,1,1.0112,11
2021,Styrian Grand Prix,Red Bull Ring,RIC,McLaren,11.0,SOFT,2.0,1,1.0051,12
2021,Styrian Grand Prix,Red Bull Ring,VET,Aston Martin,9.0,SOFT,2.0,1,1.008,13
2021,Styrian Grand Prix,Red Bull Ring,GIO,Alfa Romeo,18.0,SOFT,8.0,1,1.0112,14
2021,Styrian Grand Prix,Red Bull Ring,LAT,Williams,4.0,MEDIUM,4.0,1,1.0345,15
2021,Styrian Grand Prix,Red Bull Ring,OCO,Alpine,9.0,SOFT,2.0,1,1.0058,16
2021,Styrian Grand Prix,Red Bull Ring,RAI,Alfa Romeo,20.0,SOFT,9.0,1,1.0135,17
