Year,Race,Track,Driver,Team,LapNumber,Compound,TyreLife,TrackStatus,PracticeLapTimeDelta,QualifyingLapTimeDelta
2021,Austrian Grand Prix,Red Bull Ring,RUS,Williams,9.0,SOFT,2.0,1,1.0201,1.0137
2021,Austrian Grand Prix,Red Bull Ring,SAI,Ferrari,18.0,SOFT,3.0,1,1.017,1.0132
2021,Austrian Grand Prix,Red Bull Ring,MSC,Haas F1 Team,13.0,SOFT,5.0,1,1.0215,1.0268
2021,Austrian Grand Prix,Red Bull Ring,HAM,Mercedes,14.0,SOFT,2.0,1,1.0,1.0046
2021,Austrian Grand Prix,Red Bull Ring,VER,Red Bull Racing,13.0,SOFT,2.0,1,1.0034,1.0
2021,Austrian Grand Prix,Red Bull Ring,OCO,Alpine,9.0,SOFT,2.0,1,1.0156,1.0209
2021,Austrian Grand Prix,Red Bull Ring,TSU,AlphaTauri,11.0,SOFT,2.0,1,1.0129,1.0087
2021,Austrian Grand Prix,Red Bull Ring,STR,Aston Martin,14.0,SOFT,5.0,1,1.0095,1.0141
2021,Austrian Grand Prix,Red Bull Ring,LEC,Ferrari,16.0,SOFT,5.0,1,1.0184,1.0138
2021,Austrian Grand Prix,Red Bull Ring,ALO,Alpine,18.0,SOFT,4.0,1,1.0135,1.0178
2021,Austrian Grand Prix,Red Bull Ring,PER,Red Bull Racing,11.0,SOFT,2.0,1,1.0154,1.0042
2021,Austrian Grand Prix,Red Bull Ring,GAS,AlphaTauri,14.0,SOFT,5.0,1,1.0133,1.0061
2021,Austrian Grand Prix,Red Bull Ring,MAZ,Haas F1 Team,14.0,SOFT,5.0,1,1.0256,1.035
2021,Austrian Grand Prix,Red Bull Ring,RAI,Alfa Romeo Racing,7.0,MEDIUM,2.0,1,1.0171,1.0202
2021,Austrian Grand Prix,Red Bull Ring,LAT,Williams,12.0,SOFT,2.0,1,1.0231,1.0231
2021,Austrian Grand Prix,Red Bull Ring,VET,Aston Martin,10.0,SOFT,2.0,1,1.0115,1.0133
2021,Austrian Grand Prix,Red Bull Ring,NOR,McLaren,17.0,SOFT,5.0,1,1.0146,1.0008
2021,Austrian Grand Prix,Red Bull Ring,BOT,Mercedes,12.0,SOFT,2.0,1,1.0029,1.0052
2021,Austrian Grand Prix,Red Bull Ring,GIO,Alfa Romeo Racing,16.0,SOFT,2.0,1,1.0153,1.0214
2021,British Grand Prix,Silverstone Circuit,RIC,McLaren,17.0,MEDIUM,19.0,1,1.0126,1.0089
2021,British Grand Prix,Silverstone Circuit,RUS,Williams,17.0,MEDIUM,11.0,1,1.0148,1.0097
2021,British Grand Prix,Silverstone Circuit,SAI,Ferrari,17.0,SOFT,6.0,1,1.0067,1.0101
2021,British Grand Prix,Silverstone Circuit,MSC,Haas F1 Team,2.0,MEDIUM,2.0,1,1.0458,1.0302
2021,British Grand Prix,Silverstone Circuit,HAM,Mercedes,23.0,SOFT,16.0,1,1.0137,1.0
2021,British Grand Prix,Silverstone Circuit,VER,Red Bull Racing,13.0,MEDIUM,18.0,1,1.0,1.0009
2021,British Grand Prix,Silverstone Circuit,OCO,Alpine,17.0,MEDIUM,2.0,1,1.009,1.014
2021,British Grand Prix,Silverstone Circuit,TSU,AlphaTauri,28.0,MEDIUM,7.0,1,1.0167,1.0222
2021,British Grand Prix,Silverstone Circuit,STR,Aston Martin,26.0,MEDIUM,17.0,1,1.0238,1.0178
2021,British Grand Prix,Silverstone Circuit,LEC,Ferrari,19.0,MEDIUM,10.0,1,1.0042,1.0081
2021,British Grand Prix,Silverstone Circuit,ALO,Alpine,16.0,SOFT,5.0,1,1.0154,1.0129
2021,British Grand Prix,Silverstone Circuit,PER,Red Bull Racing,13.0,MEDIUM,20.0,1,1.01,1.0082
2021,British Grand Prix,Silverstone Circuit,GAS,AlphaTauri,21.0,SOFT,5.0,1,1.0143,1.0132
2021,British Grand Prix,Silverstone Circuit,MAZ,Haas F1 Team,5.0,MEDIUM,2.0,1,1.0286,1.0339
2021,British Grand Prix,Silverstone Circuit,RAI,Alfa Romeo Racing,24.0,SOFT,17.0,1,1.0159,1.0224
2021,British Grand Prix,Silverstone Circuit,LAT,Williams,26.0,MEDIUM,12.0,1,1.016,1.0246
2021,British Grand Prix,Silverstone Circuit,VET,Aston Martin,29.0,MEDIUM,19.0,1,1.0188,1.0121
2021,British Grand Prix,Silverstone Circuit,NOR,McLaren,18.0,MEDIUM,18.0,1,1.0125,1.0089
2021,British Grand Prix,Silverstone Circuit,BOT,Mercedes,21.0,HARD,9.0,1,1.0142,1.0023
2021,British Grand Prix,Silverstone Circuit,GIO,Alfa Romeo Racing,14.0,SOFT,5.0,1,1.0151,1.0172
2021,Hungarian Grand Prix,Hungaroring,RIC,McLaren,11.0,SOFT,2.0,1,1.0224,1.0193
2021,Hungarian Grand Prix,Hungaroring,RUS,Williams,10.0,SOFT,5.0,1,1.0296,1.0335
2021,Hungarian Grand Prix,Hungaroring,SAI,Ferrari,13.0,SOFT,2.0,1,1.0186,1.0163
2021,Hungarian Grand Prix,Hungaroring,MSC,Haas F1 Team,10.0,SOFT,2.0,1,1.0364,
2021,Hungarian Grand Prix,Hungaroring,HAM,Mercedes,10.0,SOFT,2.0,1,1.0004,1.0
2021,Hungarian Grand Prix,Hungaroring,VER,Red Bull Racing,10.0,SOFT,2.0,1,1.0039,1.0056
2021,Hungarian Grand Prix,Hungaroring,OCO,Alpine,11.0,SOFT,2.0,1,1.0097,1.0164
2021,Hungarian Grand Prix,Hungaroring,TSU,AlphaTauri,2.0,SOFT,2.0,1,1.0345,1.0331
2021,Hungarian Grand Prix,Hungaroring,STR,Aston Martin,8.0,SOFT,2.0,1,1.017,1.0195
2021,Hungarian Grand Prix,Hungaroring,LEC,Ferrari,11.0,SOFT,2.0,1,1.0176,1.0143
2021,Hungarian Grand Prix,Hungaroring,ALO,Alpine,12.0,SOFT,2.0,1,1.015,1.0172
2021,Hungarian Grand Prix,Hungaroring,PER,Red Bull Racing,13.0,SOFT,5.0,1,1.0105,1.0133
2021,Hungarian Grand Prix,Hungaroring,GAS,AlphaTauri,11.0,SOFT,2.0,1,1.0143,1.0141
2021,Hungarian Grand Prix,Hungaroring,MAZ,Haas F1 Team,4.0,MEDIUM,4.0,1,1.0632,1.0464
2021,Hungarian Grand Prix,Hungaroring,RAI,Alfa Romeo Racing,13.0,SOFT,2.0,1,1.0294,1.0284
2021,Hungarian Grand Prix,Hungaroring,LAT,Williams,7.0,SOFT,2.0,1,1.032,1.0347
2021,Hungarian Grand Prix,Hungaroring,VET,Aston Martin,7.0,SOFT,2.0,1,1.0158,1.0176
2021,Hungarian Grand Prix,Hungaroring,NOR,McLaren,10.0,SOFT,2.0,1,1.0169,1.0142
2021,Hungarian Grand Prix,Hungaroring,BOT,Mercedes,10.0,SOFT,2.0,1,1.0,1.0042
2021,Hungarian Grand Prix,Hungaroring,GIO,Alfa Romeo Racing,15.0,SOFT,5.0,1,1.0412,1.0287
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,RIC,McLaren,9.0,SOFT,2.0,1,1.0158,1.0417
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,RUS,Williams,6.0,SOFT,2.0,2,1.021,1.035
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,SAI,Ferrari,10.0,SOFT,2.0,1,1.01,1.0182
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,MSC,Haas F1 Team,8.0,SOFT,2.0,1,1.0293,1.0685
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,HAM,Mercedes,3.0,MEDIUM,3.0,1,1.0007,1.0351
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,VER,Red Bull Racing,7.0,SOFT,2.0,1,1.0,1.0322
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,OCO,Alpine,9.0,SOFT,2.0,1,1.0079,1.0645
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,TSU,AlphaTauri,12.0,SOFT,4.0,1,1.0123,1.0551
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,STR,Aston Martin,8.0,SOFT,2.0,1,1.0068,1.019
